# UltraFIBU - Kontenrahmen SKR04 (vollstaendig)
#
# Erzeugt aus dem DATEV-Kontenrahmen-PDF (BilRUG-Fassung, Stand 2026) mit
# Apps/UltraFIBU/tools/skr-pdf-extrahieren.py. Spaltenbedeutung nach der
# Legende des PDF:
#
#   bilanz_position      Fussnote 2) Bilanz- und GuV-Posten, grosse
#                        Kapitalgesellschaften, Gesamtkostenverfahren
#   funktion             KU/V/M Zusatzfunktion ueber einer Kontenklasse,
#                        AV/AM/S/F/R Hauptfunktion vor einem Konto, auch
#                        kombiniert (S/AV). AV und AM sind die
#                        DATEV-AUTOMATIKKONTEN.
#   abschlusszweck       HB Handelsbilanz, SB Steuerbilanz, EUeR
#   programmverbindung   U Umsatzsteuer, G Gewerbesteuer, K Koerperschaft
#   nummer_bis           gesetzt, wenn die Zeile einen Kontenbereich meint
#                        (im PDF als "0040-42" gedruckt). Solche Zeilen haben
#                        keine eigene Beschriftung; hier steht dann ihr
#                        Bilanz-Posten.
#
# STEUERSCHLUESSEL: uebernommen aus der bisherigen, handgepflegten Datei
# (0 Konten). Das PDF nennt die Automatikfunktion (AM/AV), nicht den
# Steuersatz - den aus einer Kontenbezeichnung zu lesen waere geraten. Wer
# weitere Schluessel setzt, prueft sie gegen die Steuerschluessel-Tabelle der
# Kanzlei.
#
# typ: fuer Konten ohne alten Eintrag aus der fuehrenden Ziffer abgeleitet -
# eine grobe Einordnung fuer die Auswertungen, keine Aussage des PDF.
#
nummer;bezeichnung;typ;steuerschluessel;euer_zeile;bwa_position;bilanz_position;funktion;abschlusszweck;programmverbindung;nummer_bis
0050;Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert (Vollhafter);aktiv;;;;Nicht eingeforderte ausstehende Einlagen;F;;;
0051;Nicht eingeforderte ausstehende Einlagen;aktiv;;;;Nicht eingeforderte ausstehende Einlagen;R;;;0059
0060;Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert (Vollhafter);aktiv;;;;Eingeforderte, noch ausstehende Kapitaleinlagen persönlich haftender Gesellschafter;F;;;
0061;Eingeforderte, noch ausstehende Kapitaleinlagen persönlich haftender Gesellschafter;aktiv;;;;Eingeforderte, noch ausstehende Kapitaleinlagen persönlich haftender Gesellschafter;R;;;0069
0070;Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert (Teilhafter);aktiv;;;;Nicht eingeforderte ausstehende Einlagen;F;;;
0071;Nicht eingeforderte ausstehende Einlagen;aktiv;;;;Nicht eingeforderte ausstehende Einlagen;R;;;0079
0080;Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert (Teilhafter);aktiv;;;;Eingeforderte, noch ausstehende Kapitaleinlagen Kommanditisten;F;;;
0081;Eingeforderte, noch ausstehende Kapitaleinlagen Kommanditisten;aktiv;;;;Eingeforderte, noch ausstehende Kapitaleinlagen Kommanditisten;R;;;0089
0090;Rückständige fällige Einzahlungen auf Geschäftsanteile Anlagevermögen Immaterielle Vermögensgegenstände;aktiv;;;;Rückständige fällige Einzahlungen auf Geschäftsanteile;;;;
0100;Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;aktiv;;;;Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;;;;
0110;Konzessionen;aktiv;;;;Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;;;;
0120;Gewerbliche Schutzrechte;aktiv;;;;Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;;;;
0130;Ähnliche Rechte und Werte;aktiv;;;;Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;;;;
0135;EDV-Software;aktiv;;;;Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;;;;
